IDSUBSLS,IDSLS,KDKEC,KDDESA,NMKEC,NMDESA,NMSLS
1708020005000300,17080200050003,020,005,BERMANI ILIR,KOTA AGUNG,DUSUN 4
1708010004001300,17080100040013,010,004,MUARA KEMUMU,SOSOKAN TABA,DUSUN 13
1708020009000300,17080200090003,020,009,BERMANI ILIR,KEBAN AGUNG,RT 3 RW 1
1708020009000100,17080200090001,020,009,BERMANI ILIR,KEBAN AGUNG,RT 1 RW 1
1708020011000200,17080200110002,020,011,BERMANI ILIR,EMBONG SIDO,DUSUN 2
1708020011000300,17080200110003,020,011,BERMANI ILIR,EMBONG SIDO,DUSUN 3
1708070005200100,17080700052001,070,005,UJAN MAS,SURO ILIR,HUTAN
1708020011100100,17080200111001,020,011,BERMANI ILIR,EMBONG SIDO,PERKEBUNAN KOPI
1708020009000800,17080200090008,020,009,BERMANI ILIR,KEBAN AGUNG,RT 7 RW 2
1708050004000200,17080500040002,050,004,KEPAHIANG,PERMU,DUSUN 2
1708060015000500,17080600150005,060,015,KABA WETAN,SIDO REJO,DUSUN 4
1708050019000100,17080500190001,050,019,KEPAHIANG,KAMPUNG PENSIUNAN,RT 1 RW 1
1708040006100100,17080400061001,040,006,TEBAT KARAI,TEBAT KARAI,PEREKEBUNAN
1708020009100100,17080200091001,020,009,BERMANI ILIR,KEBAN AGUNG,PERKEBUNAN KOPI
1708020009000500,17080200090005,020,009,BERMANI ILIR,KEBAN AGUNG,RT 5 RW 2
1708050011200100,17080500112001,050,011,KEPAHIANG,DUSUN KEPAHIANG,HUTAN
1708050014000300,17080500140003,050,014,KEPAHIANG,TABA TEBELET,DUSUN 3
1708050005001300,17080500050013,050,005,KEPAHIANG,PASAR UJUNG,RT 13 RW 4
1708050005001000,17080500050010,050,005,KEPAHIANG,PASAR UJUNG,RT 10 RW 4
1708050012000200,17080500120002,050,012,KEPAHIANG,KUTO REJO,DUSUN 2
1708030006000200,17080300060002,030,006,SEBERANG MUSI,TEMDAK,DUSUN 2
1708010004000600,17080100040006,010,004,MUARA KEMUMU,SOSOKAN TABA,DUSUN 6
1708020008100100,17080200081001,020,008,BERMANI ILIR,CINTO MANDI,PERKEBUNAN
1708040004000400,17080400040004,040,004,TEBAT KARAI,PERADUAN BINJAI,DUSUN 4
1708010004000900,17080100040009,010,004,MUARA KEMUMU,SOSOKAN TABA,DUSUN 9
1708010003000500,17080100030005,010,003,MUARA KEMUMU,SOSOKAN BARU,DUSUN 5
1708070013200100,17080700132001,070,013,UJAN MAS,TANJUNG ALAM,HUTAN
1708040007100100,17080400071001,040,007,TEBAT KARAI,TABA SATING,PEREKEBUNAN
1708030002000300,17080300020003,030,002,SEBERANG MUSI,AIR SELIMANG,DUSUN 3
1708060016000100,17080600160001,060,016,KABA WETAN,BANDUNG JAYA,DUSUN 1
1708050021001600,17080500210016,050,021,KEPAHIANG,PADANG LEKAT,RT 16 RW 3
